Loan_ID,Industry_Type,Revenue (in $M),Debt-to-Equity Ratio,Credit_Score,Green_Energy_Investment (in $M),Energy_Efficiency_Score,Environmental_Certification,Loan_Amount (in $M),ROI (%),Project_Completion_Time (in months),Operational_Costs (in $M),Risk_Level,Energy_Capacity (MW),Approval_Status,Project_Impact,Risk_Assessment,Governance_Structure
LOAN-0382,Construction,52.08,0.29,453,144.6,68,No,51.96,8.64,16,12.23,High,15.8,Rejected,Medium,Severe,Decentralized
LOAN-0383,Technology,467.99,0.28,381,137.65,22,No,93.78,21.23,6,48.38,Medium,147.48,Rejected,Low,Moderate,Community-driven
LOAN-0384,Agriculture,316.93,0.93,470,178.34,2,Yes,84.52,12.66,21,40.72,High,463.66,Rejected,Low,Severe,Community-driven
LOAN-0385,Technology,442.7,0.41,684,164.92,26,Yes,63.9,14.67,19,18.98,Low,407.74,Rejected,Low,Minimal,Decentralized
LOAN-0386,Technology,450.15,0.11,504,69.68,30,No,40.29,7.31,24,43.66,Low,71.46,Rejected,Low,Minimal,Community-driven
LOAN-0387,Healthcare,317.11,1.05,557,93.34,15,No,14.85,17.46,24,5.93,Low,417.43,Rejected,Low,Severe,Centralized
LOAN-0388,Construction,287.31,0.64,775,161.92,41,No,91.45,2.37,7,47.55,High,296.81,Rejected,Low,Severe,Decentralized
LOAN-0389,Technology,150.15,2.84,471,179.62,67,No,74.71,20.3,20,10.44,Medium,486.86,Rejected,Medium,Moderate,Decentralized
LOAN-0390,Construction,89.46,0.11,622,51.64,97,Yes,12.12,18.42,29,30.7,Medium,266.2,Rejected,High,Moderate,Community-driven
LOAN-0391,Healthcare,54.25,2.01,779,162.38,25,Yes,26.92,23.64,32,39.36,Medium,19.77,Rejected,Low,Moderate,Decentralized
LOAN-0392,Construction,231.43,1.91,699,68.5,17,Yes,8.27,21.42,26,7.61,Medium,489.24,Rejected,Low,Moderate,Community-driven
LOAN-0393,Construction,173.46,1.95,354,69.73,37,No,92.21,24.43,32,44.01,High,356.91,Rejected,Low,Severe,Decentralized
LOAN-0394,Technology,457.98,2.4,420,21.89,89,Yes,7.07,7.99,13,5.91,Medium,104.49,Rejected,Medium,Moderate,Community-driven
LOAN-0395,Healthcare,368.2,1.05,334,19.2,8,No,81.14,16.05,20,5.41,Low,486.2,Rejected,Low,Severe,Centralized
LOAN-0396,Agriculture,429.93,2.53,361,112.36,84,Yes,37.59,19.14,26,38.88,Low,64.81,Rejected,High,Severe,Centralized
LOAN-0397,Healthcare,224.67,1.09,699,137.61,41,No,13.11,11.79,9,32.63,High,464.7,Rejected,Low,Severe,Community-driven
LOAN-0398,Renewable Energy,376.25,1.81,843,27.25,24,Yes,29.02,22.77,30,16.94,Low,14.96,Rejected,Low,Severe,Decentralized
LOAN-0399,Construction,50.03,2.86,627,55.66,90,No,16.89,-1.57,36,32.8,Medium,313.47,Rejected,Low,Moderate,Community-driven
LOAN-0400,Renewable Energy,279.23,0.2,585,164.91,18,Yes,77.93,1.95,26,15.93,Low,428.1,Rejected,Low,Minimal,Community-driven
LOAN-0401,Technology,406.56,0.79,840,49.44,47,No,71.91,20.62,14,29.28,Medium,484.46,Rejected,Low,Moderate,Centralized
LOAN-0402,Agriculture,163.85,1.01,483,59.64,76,No,78.45,1.39,13,39.37,Low,343.27,Rejected,Low,Severe,Centralized
LOAN-0403,Renewable Energy,313.7,2.76,758,9.19,52,Yes,19.86,12.09,24,30.07,Medium,42.2,Rejected,Medium,Moderate,Community-driven
LOAN-0404,Renewable Energy,440.55,1.34,639,97.45,8,No,35.24,-4.99,22,4.04,Medium,398.14,Rejected,Low,Moderate,Centralized
LOAN-0405,Agriculture,168.75,2.2,593,151.25,40,No,14.59,4.8,7,24.19,Low,464.71,Rejected,Low,Severe,Community-driven
LOAN-0406,Agriculture,170.03,0.25,761,24.42,82,No,77.35,4.11,21,28.78,High,277.98,Rejected,Low,Severe,Centralized
LOAN-0407,Agriculture,451.17,0.4,661,122.67,12,Yes,60.99,13.89,28,5.67,High,400.8,Rejected,Low,Severe,Community-driven
LOAN-0408,Healthcare,343.28,0.2,529,122.34,28,No,59.58,-0.43,26,24.17,Low,268.09,Rejected,Low,Minimal,Decentralized
LOAN-0409,Healthcare,331.15,1.32,611,64.68,81,Yes,30.75,22.77,17,19.81,Medium,492.66,Approved,High,Moderate,Decentralized
LOAN-0410,Construction,235.8,0.75,643,193.27,97,No,14.09,23.83,26,28.8,Low,156.2,Rejected,High,Minimal,Decentralized
LOAN-0411,Technology,76.2,0.57,463,105.64,100,No,98.06,-4.01,34,9.11,Low,399.66,Rejected,Low,Minimal,Centralized
LOAN-0412,Agriculture,41.62,0.31,710,116.19,33,Yes,36.08,21.09,17,49.3,Medium,69.02,Rejected,Low,Moderate,Community-driven
LOAN-0413,Technology,339.02,0.59,590,182.39,43,No,97.0,-0.15,36,5.52,Medium,61.19,Approved,Low,Moderate,Community-driven
LOAN-0414,Healthcare,259.1,1.28,841,78.18,77,Yes,85.69,19.75,36,3.61,High,470.86,Rejected,High,Severe,Centralized
LOAN-0415,Technology,76.42,2.32,598,199.58,13,No,88.56,-0.19,24,8.12,High,491.81,Approved,Low,Severe,Decentralized
LOAN-0416,Renewable Energy,33.56,1.56,788,31.75,50,Yes,40.02,18.87,22,19.77,Low,250.51,Rejected,Low,Severe,Centralized
LOAN-0417,Healthcare,488.57,2.48,385,159.95,18,Yes,98.2,6.29,17,33.95,Low,15.09,Rejected,Low,Severe,Centralized
LOAN-0418,Technology,170.53,0.95,826,46.49,99,Yes,32.84,14.64,14,12.44,High,260.3,Rejected,High,Severe,Decentralized
LOAN-0419,Agriculture,159.03,0.6,626,153.47,53,Yes,59.38,14.52,28,47.78,High,55.08,Rejected,Medium,Severe,Decentralized
LOAN-0420,Technology,278.7,2.35,683,183.54,55,No,10.44,10.37,31,46.46,Medium,141.19,Rejected,Medium,Moderate,Centralized
LOAN-0421,Construction,327.2,0.94,790,143.05,79,Yes,26.51,24.63,15,9.69,Medium,24.39,Rejected,High,Moderate,Community-driven
LOAN-0422,Construction,433.86,0.82,801,59.38,22,No,45.11,-1.39,23,26.4,Low,323.25,Rejected,Low,Minimal,Community-driven
LOAN-0423,Renewable Energy,425.92,2.12,656,35.72,6,No,21.82,17.47,18,5.36,High,394.15,Rejected,Low,Severe,Community-driven
LOAN-0424,Renewable Energy,208.09,2.42,547,166.85,32,No,72.4,16.67,9,32.23,Medium,184.12,Rejected,Low,Moderate,Decentralized
LOAN-0425,Agriculture,117.54,2.2,842,78.83,24,Yes,41.49,14.3,12,8.25,High,362.16,Rejected,Low,Severe,Centralized
LOAN-0426,Healthcare,349.44,2.06,578,192.59,78,Yes,98.83,2.36,24,31.57,High,432.0,Rejected,Low,Severe,Centralized
LOAN-0427,Agriculture,220.86,1.32,442,196.52,14,Yes,7.83,3.11,23,32.26,High,281.11,Rejected,Low,Severe,Community-driven
LOAN-0428,Technology,297.9,1.49,779,108.89,29,Yes,49.84,-2.94,9,42.64,Low,32.62,Rejected,Low,Severe,Centralized
LOAN-0429,Technology,497.47,0.4,494,165.89,20,Yes,8.87,22.84,34,31.44,Medium,134.04,Rejected,Low,Moderate,Centralized
LOAN-0430,Agriculture,349.86,2.05,626,51.54,92,No,51.31,4.73,11,19.48,High,122.22,Rejected,Low,Severe,Centralized
LOAN-0431,Healthcare,356.88,1.3,681,122.91,32,Yes,57.4,-2.11,26,8.41,Medium,317.56,Rejected,Low,Moderate,Centralized
LOAN-0432,Healthcare,289.01,1.62,447,125.8,34,No,14.9,-3.57,16,41.21,High,176.03,Rejected,Low,Severe,Centralized
LOAN-0433,Agriculture,484.71,2.7,772,121.5,33,Yes,81.96,1.62,17,46.18,High,2.85,Rejected,Low,Severe,Centralized
LOAN-0434,Technology,132.46,1.44,438,19.92,91,No,61.8,16.85,30,36.31,Medium,194.8,Rejected,High,Moderate,Community-driven
LOAN-0435,Renewable Energy,217.02,2.7,576,63.59,67,Yes,60.9,15.59,18,33.44,Low,402.39,Rejected,Medium,Severe,Centralized
LOAN-0436,Healthcare,261.13,2.95,485,48.74,42,No,86.5,0.53,24,23.88,High,153.98,Rejected,Low,Severe,Centralized
LOAN-0437,Agriculture,211.56,1.67,701,130.9,60,Yes,99.11,9.82,8,24.69,Medium,63.51,Rejected,Medium,Moderate,Centralized
LOAN-0438,Renewable Energy,422.49,1.85,705,83.24,77,No,71.01,1.01,29,23.11,Low,357.6,Rejected,Low,Severe,Centralized
LOAN-0439,Renewable Energy,245.4,0.1,536,9.42,76,Yes,46.85,16.78,6,33.5,Low,190.84,Rejected,High,Minimal,Decentralized
LOAN-0440,Construction,397.61,2.36,554,73.27,63,No,38.96,19.01,14,12.78,High,447.73,Rejected,Medium,Severe,Decentralized
LOAN-0441,Renewable Energy,406.17,0.99,328,177.93,50,No,72.9,20.19,13,4.91,High,59.47,Rejected,Low,Severe,Decentralized
LOAN-0442,Agriculture,409.76,1.81,359,175.9,83,No,51.64,10.16,6,32.74,Low,281.7,Rejected,High,Severe,Community-driven
LOAN-0443,Renewable Energy,38.4,0.51,436,18.8,30,Yes,64.67,22.18,22,5.09,High,178.02,Rejected,Low,Severe,Decentralized
LOAN-0444,Construction,136.74,1.78,611,143.78,85,Yes,89.08,-2.12,32,27.65,Low,288.59,Rejected,Low,Severe,Decentralized
LOAN-0445,Agriculture,418.25,1.44,532,96.73,81,No,72.47,19.98,7,3.4,Medium,141.65,Rejected,High,Moderate,Community-driven
LOAN-0446,Healthcare,149.47,2.9,592,79.15,51,No,11.63,4.1,20,7.18,Medium,368.03,Rejected,Low,Moderate,Decentralized
LOAN-0447,Renewable Energy,168.31,1.83,488,99.8,14,No,14.94,16.89,8,6.79,High,48.74,Rejected,Low,Severe,Decentralized
LOAN-0448,Agriculture,111.87,0.62,418,65.07,81,Yes,36.43,12.11,24,10.39,High,125.18,Rejected,High,Severe,Decentralized
LOAN-0449,Agriculture,362.79,2.23,694,86.03,10,Yes,40.34,24.84,32,20.48,High,264.16,Rejected,Low,Severe,Centralized
LOAN-0450,Agriculture,172.72,2.73,782,36.66,51,Yes,23.24,23.31,7,41.73,High,384.88,Rejected,Medium,Severe,Centralized
LOAN-0451,Renewable Energy,264.32,0.61,606,2.86,53,Yes,20.07,12.89,14,14.01,Medium,303.79,Rejected,Medium,Moderate,Centralized
LOAN-0452,Renewable Energy,386.07,2.82,693,137.98,86,No,90.54,9.88,12,2.09,Low,23.23,Rejected,Medium,Severe,Community-driven
LOAN-0453,Technology,397.25,1.1,838,54.18,17,Yes,23.55,-1.88,23,28.76,High,31.11,Rejected,Low,Severe,Community-driven
LOAN-0454,Agriculture,467.84,0.19,461,12.56,16,Yes,50.05,21.97,31,6.79,Medium,393.59,Rejected,Low,Moderate,Decentralized
LOAN-0455,Healthcare,210.61,0.45,654,81.44,44,Yes,70.0,16.97,11,41.27,High,114.32,Rejected,Low,Severe,Community-driven
LOAN-0456,Renewable Energy,136.46,2.26,449,109.87,10,No,43.78,19.79,21,36.71,High,345.92,Rejected,Low,Severe,Community-driven
LOAN-0457,Construction,477.02,2.48,475,28.87,54,No,93.51,18.36,15,6.96,Low,217.41,Rejected,Medium,Severe,Decentralized
LOAN-0458,Construction,193.11,0.49,378,64.34,37,Yes,9.6,12.95,9,16.58,Low,85.95,Rejected,Low,Minimal,Community-driven
LOAN-0459,Healthcare,187.27,0.48,780,108.1,73,No,35.0,22.89,29,16.04,High,282.24,Rejected,High,Severe,Community-driven
LOAN-0460,Technology,221.81,1.32,364,91.36,14,Yes,51.06,3.57,13,13.39,Low,186.92,Rejected,Low,Severe,Centralized
LOAN-0461,Technology,165.17,2.28,717,14.57,37,No,62.61,0.67,23,34.59,High,482.6,Rejected,Low,Severe,Centralized
LOAN-0462,Healthcare,324.06,1.93,835,101.68,76,Yes,54.91,20.06,20,24.41,High,405.3,Rejected,High,Severe,Decentralized
LOAN-0463,Construction,345.7,1.74,834,193.39,22,No,59.21,24.15,16,40.14,High,210.24,Rejected,Low,Severe,Centralized
LOAN-0464,Technology,230.59,1.05,463,194.7,2,Yes,27.16,-1.12,12,26.84,Low,316.59,Rejected,Low,Severe,Community-driven
LOAN-0465,Healthcare,94.6,2.7,506,124.96,61,Yes,20.44,-2.25,30,43.57,Low,333.28,Rejected,Low,Severe,Centralized
LOAN-0466,Construction,180.16,1.03,400,64.35,54,No,75.59,16.48,34,22.88,High,122.57,Rejected,Medium,Severe,Community-driven
LOAN-0467,Agriculture,274.53,0.99,769,154.7,78,No,73.95,3.79,29,24.51,Low,292.76,Rejected,Low,Minimal,Community-driven
LOAN-0468,Renewable Energy,63.78,1.54,420,156.95,12,Yes,43.15,-4.25,25,47.09,Medium,360.68,Rejected,Low,Moderate,Community-driven
LOAN-0469,Agriculture,99.68,1.75,649,98.64,35,No,72.47,12.67,32,14.92,Low,283.22,Rejected,Low,Severe,Decentralized
LOAN-0470,Renewable Energy,429.64,1.16,382,64.56,7,Yes,87.48,15.35,31,11.72,Low,72.57,Rejected,Low,Severe,Decentralized
LOAN-0471,Construction,162.04,3.0,515,125.53,69,Yes,63.5,24.47,22,45.87,High,184.7,Rejected,Medium,Severe,Decentralized
LOAN-0472,Renewable Energy,66.45,0.14,732,25.84,73,Yes,7.1,3.77,17,26.59,Low,333.87,Rejected,Low,Minimal,Community-driven
LOAN-0473,Agriculture,139.03,1.83,695,193.81,74,Yes,79.31,17.45,25,1.1,High,15.38,Rejected,High,Severe,Community-driven
LOAN-0474,Technology,173.21,2.71,518,42.24,41,Yes,57.7,0.45,36,29.2,Low,347.86,Rejected,Low,Severe,Community-driven
LOAN-0475,Renewable Energy,51.87,0.81,707,164.8,80,Yes,13.4,-1.95,29,44.52,High,424.27,Rejected,Low,Severe,Community-driven
LOAN-0476,Technology,90.0,2.94,751,171.88,59,Yes,7.99,14.59,10,24.03,Medium,112.22,Rejected,Medium,Moderate,Community-driven
LOAN-0477,Agriculture,294.99,2.07,839,67.62,39,No,57.12,18.56,13,42.73,Medium,326.99,Rejected,Low,Moderate,Community-driven
LOAN-0478,Healthcare,250.26,2.21,437,95.34,34,No,51.0,-1.42,24,36.4,Medium,451.28,Rejected,Low,Moderate,Decentralized
LOAN-0479,Technology,458.43,1.36,417,169.43,24,Yes,60.42,-3.34,22,32.82,High,68.82,Rejected,Low,Severe,Centralized
LOAN-0480,Technology,492.95,0.74,401,9.54,95,No,99.28,4.83,9,36.57,Medium,93.7,Rejected,Low,Moderate,Centralized
LOAN-0481,Agriculture,186.72,2.49,453,139.18,65,Yes,15.21,17.62,35,13.72,High,292.12,Rejected,Medium,Severe,Community-driven
LOAN-0482,Renewable Energy,390.89,1.08,331,79.53,96,No,53.26,-2.61,36,34.54,Low,4.03,Rejected,Low,Severe,Centralized
LOAN-0483,Agriculture,429.04,1.97,722,172.92,94,No,48.06,18.2,35,8.91,High,118.08,Rejected,High,Severe,Centralized
LOAN-0484,Healthcare,235.68,2.06,803,129.34,8,Yes,52.3,1.1,6,39.97,Medium,241.48,Rejected,Low,Moderate,Community-driven
LOAN-0485,Technology,256.45,0.75,413,180.88,94,No,62.37,14.91,16,18.79,High,99.49,Rejected,High,Severe,Decentralized
LOAN-0486,Construction,125.58,2.55,615,10.94,54,Yes,32.12,-3.12,33,9.93,High,142.06,Approved,Low,Severe,Community-driven
LOAN-0487,Healthcare,282.02,2.62,649,49.74,51,Yes,59.79,20.58,19,21.84,Medium,147.73,Rejected,Medium,Moderate,Centralized
LOAN-0488,Healthcare,173.39,1.06,398,42.57,67,No,59.64,16.46,25,32.12,Medium,406.99,Rejected,Medium,Moderate,Centralized
LOAN-0489,Construction,69.65,2.79,334,49.04,21,Yes,77.86,-4.8,34,19.8,High,291.0,Rejected,Low,Severe,Centralized
LOAN-0490,Agriculture,363.11,1.1,667,53.69,82,Yes,30.46,-4.55,29,36.92,Medium,475.69,Rejected,Low,Moderate,Decentralized
LOAN-0491,Renewable Energy,195.61,0.43,721,8.2,88,No,86.94,18.28,22,13.87,Low,202.97,Rejected,High,Minimal,Decentralized
LOAN-0492,Healthcare,444.86,1.35,717,18.7,21,No,15.56,14.03,35,36.93,Low,188.51,Rejected,Low,Severe,Community-driven
LOAN-0493,Construction,24.49,0.61,633,58.98,100,Yes,95.55,12.34,16,32.32,Low,2.88,Rejected,High,Minimal,Centralized
LOAN-0494,Healthcare,91.61,0.45,544,26.16,42,No,77.91,0.55,17,21.08,Low,138.73,Rejected,Low,Minimal,Community-driven
LOAN-0495,Renewable Energy,349.91,1.46,397,133.2,76,Yes,92.64,22.56,27,30.88,Medium,114.64,Rejected,High,Moderate,Decentralized
LOAN-0496,Construction,207.95,1.94,824,83.69,66,No,23.91,6.29,33,10.5,High,298.24,Rejected,Medium,Severe,Centralized
LOAN-0497,Agriculture,309.8,2.15,526,30.12,77,No,46.08,18.71,24,3.18,High,324.98,Rejected,High,Severe,Community-driven
LOAN-0498,Renewable Energy,367.02,2.98,788,1.61,13,Yes,70.15,23.45,13,29.46,Medium,231.82,Rejected,Low,Moderate,Community-driven
LOAN-0499,Construction,315.65,1.25,727,4.24,71,No,76.03,11.35,31,31.29,High,267.11,Rejected,High,Severe,Decentralized
LOAN-0500,Healthcare,25.96,1.84,493,64.58,22,No,68.51,10.57,7,36.73,Low,290.4,Rejected,Low,Severe,Centralized
LOAN-0501,Agriculture,30.7,0.63,522,33.76,28,No,65.51,19.71,12,30.17,High,410.12,Rejected,Low,Severe,Centralized
LOAN-0502,Renewable Energy,54.57,1.99,544,2.41,25,Yes,95.93,18.07,27,33.66,High,256.26,Rejected,Low,Severe,Community-driven
LOAN-0503,Agriculture,428.86,2.19,581,103.75,95,Yes,61.06,4.22,24,6.23,Low,363.66,Rejected,Low,Severe,Decentralized
LOAN-0504,Agriculture,64.91,2.4,743,66.63,72,Yes,18.27,2.56,25,34.57,Medium,62.11,Rejected,Low,Moderate,Centralized
LOAN-0505,Technology,97.3,0.21,745,4.38,65,No,34.63,14.26,27,22.09,High,4.58,Rejected,Medium,Severe,Centralized
LOAN-0506,Renewable Energy,447.79,1.63,437,102.49,52,No,50.32,0.42,25,28.6,Medium,406.89,Rejected,Low,Moderate,Community-driven
LOAN-0507,Construction,43.12,0.7,326,32.34,32,Yes,7.99,18.65,36,11.74,Medium,296.52,Rejected,Low,Moderate,Centralized
LOAN-0508,Construction,142.42,2.75,511,165.23,55,Yes,93.27,12.66,34,42.07,High,261.69,Approved,Medium,Severe,Community-driven
LOAN-0509,Technology,448.97,1.02,564,86.11,10,Yes,17.53,2.86,32,18.34,Low,253.85,Rejected,Low,Severe,Decentralized
LOAN-0510,Agriculture,232.09,0.11,494,130.94,91,Yes,76.71,-2.09,14,16.39,Low,360.13,Rejected,Low,Minimal,Community-driven
LOAN-0511,Renewable Energy,189.08,1.14,454,121.72,57,No,44.84,-2.86,8,36.41,High,440.39,Rejected,Low,Severe,Decentralized
LOAN-0512,Agriculture,175.47,1.36,626,45.17,45,No,18.02,12.96,23,42.92,Low,317.14,Rejected,Low,Severe,Centralized
LOAN-0513,Renewable Energy,248.85,2.01,789,3.08,65,No,60.01,7.82,10,3.58,Low,373.47,Approved,Medium,Severe,Centralized
LOAN-0514,Healthcare,262.36,2.3,558,28.09,4,Yes,78.0,6.08,23,29.94,Low,204.69,Rejected,Low,Severe,Community-driven
LOAN-0515,Renewable Energy,24.58,0.48,615,139.43,77,No,35.19,16.29,26,11.42,Low,36.71,Rejected,High,Minimal,Community-driven
LOAN-0516,Renewable Energy,13.86,2.99,558,62.63,95,Yes,93.63,19.94,10,40.8,Low,34.98,Rejected,High,Severe,Centralized
LOAN-0517,Renewable Energy,349.97,2.27,692,134.99,35,Yes,57.01,6.55,14,25.21,Medium,33.5,Rejected,Low,Moderate,Community-driven
LOAN-0518,Technology,364.72,2.44,772,155.81,76,No,76.9,16.21,29,29.0,Low,89.85,Rejected,High,Severe,Community-driven
LOAN-0519,Construction,56.56,1.85,470,43.9,31,Yes,90.78,22.96,36,27.22,Low,476.95,Rejected,Low,Severe,Decentralized
LOAN-0520,Renewable Energy,143.31,1.98,802,109.79,82,Yes,94.81,1.95,30,42.84,High,281.74,Rejected,Low,Severe,Community-driven
LOAN-0521,Healthcare,120.58,1.97,479,138.96,30,Yes,64.54,17.44,20,18.66,Medium,192.06,Rejected,Low,Moderate,Decentralized
LOAN-0522,Construction,116.21,0.45,528,169.35,37,No,31.81,8.04,18,13.98,Medium,278.6,Rejected,Low,Moderate,Community-driven
LOAN-0523,Construction,73.71,0.94,410,11.46,28,No,8.99,-4.48,18,19.73,Low,46.77,Rejected,Low,Minimal,Community-driven
LOAN-0524,Agriculture,282.91,0.55,796,65.81,87,No,74.93,12.96,9,22.23,High,328.71,Rejected,High,Severe,Community-driven
LOAN-0525,Technology,268.09,0.19,798,111.34,19,No,98.41,0.61,23,13.73,Medium,78.01,Rejected,Low,Moderate,Community-driven
LOAN-0526,Construction,156.21,2.85,423,89.67,56,Yes,34.5,6.38,25,15.38,High,5.36,Rejected,Medium,Severe,Community-driven
LOAN-0527,Construction,235.21,1.02,319,38.66,54,No,56.12,18.82,22,4.91,High,476.83,Rejected,Medium,Severe,Decentralized
LOAN-0528,Renewable Energy,440.1,0.4,619,95.02,30,Yes,75.44,9.52,17,16.14,Medium,355.5,Rejected,Low,Moderate,Community-driven
LOAN-0529,Agriculture,162.47,0.62,605,14.75,96,Yes,31.48,17.32,13,18.71,High,191.65,Rejected,High,Severe,Community-driven
LOAN-0530,Construction,474.74,0.54,679,7.57,47,Yes,64.82,23.89,19,8.01,High,239.86,Rejected,Low,Severe,Community-driven
LOAN-0531,Healthcare,26.52,1.81,534,194.83,87,No,99.87,20.21,34,38.88,High,490.13,Rejected,High,Severe,Community-driven
LOAN-0532,Renewable Energy,423.71,2.59,376,112.04,24,Yes,60.73,17.93,36,49.1,High,467.58,Rejected,Low,Severe,Community-driven
LOAN-0533,Renewable Energy,109.27,1.68,633,149.84,54,No,10.27,2.8,20,30.27,Medium,490.11,Rejected,Low,Moderate,Centralized
LOAN-0534,Healthcare,284.3,2.19,694,5.88,85,Yes,24.3,9.28,16,26.11,High,57.12,Rejected,Medium,Severe,Decentralized
LOAN-0535,Renewable Energy,353.5,1.9,790,40.94,4,No,76.81,3.13,7,47.73,Low,27.1,Approved,Low,Severe,Community-driven
LOAN-0536,Agriculture,119.34,2.98,518,198.49,68,No,26.28,-3.77,35,24.47,High,390.23,Rejected,Low,Severe,Community-driven
LOAN-0537,Renewable Energy,138.6,0.5,606,49.83,3,No,7.59,11.61,22,36.95,Medium,476.51,Rejected,Low,Moderate,Decentralized
LOAN-0538,Healthcare,361.85,1.82,550,36.74,37,No,22.93,17.31,16,7.41,Low,167.21,Rejected,Low,Severe,Community-driven
LOAN-0539,Healthcare,157.43,0.35,502,99.26,44,No,75.61,14.29,31,46.85,Low,344.61,Rejected,Low,Minimal,Decentralized
LOAN-0540,Technology,59.71,2.04,401,192.53,99,Yes,96.53,10.13,22,34.04,Low,66.85,Rejected,High,Severe,Decentralized
LOAN-0541,Technology,254.55,0.39,836,79.95,66,No,47.54,-3.76,28,9.39,High,409.67,Rejected,Low,Severe,Community-driven
LOAN-0542,Technology,394.78,1.6,791,166.92,7,No,44.6,7.3,35,28.76,Medium,420.22,Rejected,Low,Moderate,Centralized
LOAN-0543,Agriculture,454.91,2.47,746,61.84,99,No,27.93,10.52,9,18.19,Low,337.63,Rejected,High,Severe,Decentralized
LOAN-0544,Renewable Energy,229.06,2.88,650,71.92,4,No,21.32,-3.05,11,38.12,Low,389.57,Rejected,Low,Severe,Community-driven
LOAN-0545,Technology,402.65,1.12,332,126.2,61,No,65.27,8.05,8,7.27,High,246.88,Rejected,Medium,Severe,Centralized
LOAN-0546,Agriculture,63.21,1.46,311,45.84,18,No,29.21,10.44,15,21.73,High,381.06,Rejected,Low,Severe,Centralized
LOAN-0547,Technology,252.79,2.3,431,104.79,14,Yes,96.07,-4.88,26,10.46,High,325.05,Approved,Low,Severe,Decentralized
LOAN-0548,Renewable Energy,57.07,0.65,698,120.06,70,No,35.24,-3.99,27,39.07,Medium,295.26,Approved,Low,Moderate,Centralized
LOAN-0549,Agriculture,450.78,0.77,575,128.52,4,No,91.44,21.45,13,44.99,Medium,356.37,Rejected,Low,Moderate,Decentralized
LOAN-0550,Renewable Energy,433.28,0.55,775,23.76,3,Yes,47.15,1.75,25,26.74,Low,188.04,Rejected,Low,Minimal,Community-driven
LOAN-0551,Renewable Energy,78.04,1.54,463,42.43,11,No,24.47,17.72,17,21.34,Low,313.7,Rejected,Low,Severe,Decentralized
LOAN-0552,Agriculture,116.42,0.31,727,151.6,74,No,68.13,24.35,24,1.7,Low,489.2,Rejected,High,Minimal,Community-driven
LOAN-0553,Technology,332.81,2.94,426,25.76,20,Yes,72.78,3.07,31,3.27,Low,454.91,Rejected,Low,Severe,Centralized
LOAN-0554,Construction,474.35,1.32,390,178.87,10,No,78.24,-3.47,26,33.05,Low,341.75,Rejected,Low,Severe,Decentralized
LOAN-0555,Technology,324.87,1.42,783,57.07,51,Yes,9.95,24.31,27,38.56,Medium,474.62,Rejected,Medium,Moderate,Centralized
LOAN-0556,Renewable Energy,364.83,0.15,729,98.69,39,No,17.79,5.76,18,37.47,High,283.7,Rejected,Low,Severe,Community-driven
LOAN-0557,Agriculture,353.91,1.7,549,69.26,94,No,88.25,8.07,19,35.89,High,259.28,Rejected,Medium,Severe,Community-driven
LOAN-0558,Agriculture,88.58,1.55,689,66.56,10,No,28.34,-4.78,29,20.35,Medium,433.39,Rejected,Low,Moderate,Community-driven
LOAN-0559,Construction,342.24,2.3,552,173.76,17,No,13.79,2.28,18,14.09,Low,348.38,Rejected,Low,Severe,Community-driven
LOAN-0560,Agriculture,463.98,2.34,710,119.37,92,No,80.59,11.35,25,34.66,High,322.25,Rejected,High,Severe,Decentralized
LOAN-0561,Construction,272.72,1.82,671,130.66,73,Yes,61.31,23.39,13,41.87,High,284.61,Rejected,High,Severe,Centralized
LOAN-0562,Agriculture,447.85,2.35,829,110.42,42,No,81.01,3.65,25,14.04,Low,253.81,Rejected,Low,Severe,Centralized
LOAN-0563,Technology,285.14,1.71,833,101.82,9,No,70.28,9.13,21,46.11,High,348.67,Rejected,Low,Severe,Community-driven
LOAN-0564,Agriculture,468.99,2.73,800,178.43,86,Yes,9.85,22.02,19,45.23,High,458.99,Rejected,High,Severe,Community-driven
LOAN-0565,Healthcare,230.76,2.95,412,86.34,40,No,45.7,18.84,20,13.09,Low,305.7,Rejected,Low,Severe,Community-driven
LOAN-0566,Construction,110.93,2.1,533,59.7,33,No,57.72,2.39,18,9.66,Low,18.93,Rejected,Low,Severe,Decentralized
LOAN-0567,Technology,477.29,0.43,462,198.39,52,No,30.22,1.01,15,47.77,High,408.97,Rejected,Low,Severe,Community-driven
LOAN-0568,Technology,302.08,1.25,612,134.59,13,No,19.51,1.85,7,39.44,Medium,436.74,Rejected,Low,Moderate,Community-driven
LOAN-0569,Agriculture,70.81,2.1,363,158.66,10,Yes,96.98,17.69,33,29.88,Medium,173.42,Rejected,Low,Moderate,Decentralized
LOAN-0570,Construction,410.39,2.97,831,11.44,62,Yes,71.04,5.81,22,41.9,Medium,189.35,Rejected,Medium,Moderate,Centralized
LOAN-0571,Technology,338.56,2.94,839,127.19,86,Yes,76.49,12.06,35,12.1,Medium,379.14,Rejected,High,Moderate,Decentralized
LOAN-0572,Renewable Energy,245.61,2.66,379,199.84,98,No,63.08,14.24,19,26.08,Low,438.77,Rejected,High,Severe,Centralized
LOAN-0573,Technology,435.55,1.32,406,16.2,19,Yes,54.62,4.71,29,11.5,High,328.76,Rejected,Low,Severe,Community-driven
